TRN_STUDENT_ACADEMICYEAR,TRN_STUDENT_GENDER_NAME,TRN_STUDENT_GRADE_LEVEL_NAME,TRN_STUDENT_STUDENTSTATUS_NAME,TOTAL
2562,หญิง,อนุบาล 3(หลักสูตร 3 ปีของ สช.)/อนุบาล 2,อยู่ระหว่างดำเนินการติดตาม,82
2562,ชาย,มัธยมศึกษาปีที่ 5 (พุทธศึกษา),ไม่จัดเก็บข้อมูล,3305
2562,หญิง,อนุบาล 2(หลักสูตร 3 ปีของ สช.)/อนุบาล 1,พักการเรียน,1
2562,หญิง,มัธยมศึกษาปีที่ 3 /เกรด 9/ นาฎศิลป์ชั้นที่ 3,พักการเรียน,1
2562,ชาย,มัธยมศึกษาปีที่ 3 /เกรด 9/ นาฎศิลป์ชั้นที่ 3,เสียชีวิต,1
2562,หญิง,มัธยมศึกษาปีที่ 2 /เกรด 8/ นาฎศิลป์ชั้นที่ 2,ไม่ระบุข้อมูล,8574
2562,ชาย,มัธยมศึกษาปีที่ 5 (พุทธศึกษา),ไม่ระบุข้อมูล,3672
2562,หญิง,มัธยมศึกษาปีที่ 1 (พุทธศึกษา),ไม่ระบุข้อมูล,198
2562,ไม่ระบุข้อมูล,มัธยมศึกษาปีที่ 3 /เกรด 9/ นาฎศิลป์ชั้นที่ 3,ไม่ระบุข้อมูล,94
2562,ไม่ระบุข้อมูล,เตรียมอนุบาล,ไม่ระบุข้อมูล,1
2562,ชาย,ประกาศนียบัตรวิชาชีพปีที่ 2,อยู่ระหว่างดำเนินการติดตาม,3
2563,ชาย,ประกาศนียบัตรวิชาชีพปีที่ 3,พักการเรียน,3023
2563,หญิง,ประกาศนียบัตรวิชาชีพชั้นสูงชั้นปีที่ 1/ ปวท. ชั้นปีที่ 1 - ปกศ. สูง ,พักการเรียน,94
2563,ชาย,มัธยมศึกษาปีที่ 2 (พุทธศึกษา),ไม่ระบุข้อมูล,7497
2563,ชาย,มัธยมศึกษาปีที่ 3 (พุทธศึกษา),ไม่ระบุข้อมูล,6594
2563,ชาย,มัธยมศึกษาปีที่ 6 (พุทธศึกษา),ไม่ระบุข้อมูล,3133
2563,ชาย,มัธยมศึกษาปีที่ 2 /เกรด 8/ นาฎศิลป์ชั้นที่ 2,ไม่สามารถจำแนกข้อมูลได้,34273
2563,หญิง,มัธยมศึกษาปีที่ 4/เกรด10/เตรียมทหารชั้นปีที่ 1,ไม่สามารถจำแนกข้อมูลได้,16030
2563,หญิง,มัธยมศึกษาปีที่ 5/เกรด11/เตรียมทหารชั้นปีที่ 2,ไม่สามารถจำแนกข้อมูลได้,13792
2563,ชาย,ประถมศึกษาปีที่ 4/เกรด 4,ไม่สามารถจำแนกข้อมูลได้,34678
2563,ชาย,ประถมศึกษาปีที่ 3/เกรด 3,ไม่สามารถจำแนกข้อมูลได้,37186
2563,หญิง,อนุบาล 1(หลักสูตร 3 ปีของ สช.)/อนุบาล 3 ขวบ,ไม่สามารถจำแนกข้อมูลได้,24897
2563,ชาย,มัธยมศึกษาปีที่ 4 (พุทธศึกษา),ไม่สามารถจำแนกข้อมูลได้,2837
2563,ชาย,ประถมศึกษาปีที่ 4/เกรด 4,อยู่ระหว่างดำเนินการติดตาม,1
2563,ชาย,ประถมศึกษาปีที่ 6/เกรด 6/กศน.ประถมศึกษา,พักการเรียน,1
2563,ชาย,มัธยมศึกษาปีที่ 1 /เกรด 7/ นาฎศิลป์ชั้นที่ 1 ,อยู่ระหว่างดำเนินการติดตาม,6
2562,ชาย,มัธยมศึกษาปีที่ 3 /เกรด 9/ นาฎศิลป์ชั้นที่ 3,อยู่ระหว่างดำเนินการติดตาม,3000
2562,ชาย,ประถมศึกษาปีที่ 3/เกรด 3,อยู่ระหว่างดำเนินการติดตาม,344
2562,ชาย,มัธยมศึกษาปีที่ 5 (อิสลามศึกษา),ไม่ระบุข้อมูล,382
2562,หญิง,ประกาศนียบัตรวิชาชีพชั้นสูงชั้นปีที่ 2/ ปวท. ชั้นปีที่ 1 - ปกศ. สูง ,พักการเรียน,3150
2562,ชาย,มัธยมศึกษาปีที่ 3 (พุทธศึกษา),ไม่จัดเก็บข้อมูล,6619
2562,ชาย,มัธยมศึกษาปีที่ 1 /เกรด 7/ นาฎศิลป์ชั้นที่ 1 ,เสียชีวิต,1
2562,ชาย,ประถมศึกษาปีที่ 2/เกรด 2,ไม่ระบุข้อมูล,17085
2562,หญิง,ปริญญาตรีชั้นปีที่ 1 (อาชีวศึกษา),พักการเรียน,1
2562,ชาย,มัธยมศึกษาปีที่ 6/เกรด12/เตรียมทหารชั้นปีที่ 3/กศน.มัธยมศึกษา,ไม่ระบุข้อมูล,2116
2562,หญิง,ประกาศนียบัตรวิชาชีพปีที่ 2,ไม่ระบุข้อมูล,136
2562,ไม่ระบุข้อมูล,มัธยมศึกษาปีที่ 5/เกรด11/เตรียมทหารชั้นปีที่ 2,ไม่ระบุข้อมูล,97
2562,ไม่ระบุข้อมูล,มัธยมศึกษาปีที่ 2 /เกรด 8/ นาฎศิลป์ชั้นที่ 2,ไม่ระบุข้อมูล,97
2562,ชาย,ประกาศนียบัตรวิชาชีพปีที่ 1,ไม่ระบุข้อมูล,675
2562,ชาย,ประกาศนียบัตรวิชาชีพปีที่ 2,ไม่ระบุข้อมูล,183
2562,หญิง,ไม่จัดเก็บข้อมูล,พักการเรียน,34086
2562,หญิง,อนุบาล 2(หลักสูตร 3 ปีของ สช.)/อนุบาล 1,อยู่ระหว่างดำเนินการติดตาม,56
2563,หญิง,ประถมศึกษาปีที่ 1/เกรด 1,ไม่ระบุข้อมูล,1
2563,ชาย,ประกาศนียบัตรวิชาชีพปีที่ 1,พักการเรียน,58
2563,ชาย,ประกาศนียบัตรวิชาชีพปีที่ 2,พักการเรียน,488
2563,ชาย,มัธยมศึกษาปีที่ 4 (พุทธศึกษา),ไม่ระบุข้อมูล,4203
2563,หญิง,มัธยมศึกษาปีที่ 2 /เกรด 8/ นาฎศิลป์ชั้นที่ 2,ไม่สามารถจำแนกข้อมูลได้,30506
2563,ชาย,มัธยมศึกษาปีที่ 3 /เกรด 9/ นาฎศิลป์ชั้นที่ 3,ไม่สามารถจำแนกข้อมูลได้,135201
2563,ชาย,มัธยมศึกษาปีที่ 5/เกรด11/เตรียมทหารชั้นปีที่ 2,ไม่สามารถจำแนกข้อมูลได้,10046
2563,ชาย,ประถมศึกษาปีที่ 5/เกรด 5,ไม่สามารถจำแนกข้อมูลได้,34985
2563,ไม่ระบุข้อมูล,มัธยมศึกษาปีที่ 3 /เกรด 9/ นาฎศิลป์ชั้นที่ 3,ไม่สามารถจำแนกข้อมูลได้,14
2563,ชาย,ประถมศึกษาปีที่ 1/เกรด 1,ไม่สามารถจำแนกข้อมูลได้,37486
2563,ข้อมูล error,ประถมศึกษาปีที่ 5/เกรด 5,ไม่สามารถจำแนกข้อมูลได้,2
2563,หญิง,มัธยมศึกษาปีที่ 1 /เกรด 7/ นาฎศิลป์ชั้นที่ 1 ,อยู่ระหว่างดำเนินการติดตาม,2
2563,ชาย,ดุริยางค์ทหารบก/ดุริยางค์ทหารเรือชั้นปีที่ 3,ไม่สามารถจำแนกข้อมูลได้,9
2563,หญิง,ดุริยางค์ทหารบก/ดุริยางค์ทหารเรือชั้นปีที่ 2,ไม่สามารถจำแนกข้อมูลได้,6
2562,หญิง,มัธยมศึกษาปีที่ 1 /เกรด 7/ นาฎศิลป์ชั้นที่ 1 ,อยู่ระหว่างดำเนินการติดตาม,621
2562,ชาย,มัธยมศึกษาปีที่ 6 (พุทธศึกษา),ไม่ระบุข้อมูล,3495
2562,ชาย,ประถมศึกษาปีที่ 2/เกรด 2,อยู่ระหว่างดำเนินการติดตาม,358
2562,ชาย,ปริญญาตรีชั้นปีที่ 2 (อาชีวศึกษา),พักการเรียน,160
2562,หญิง,มัธยมศึกษาปีที่ 6/เกรด12/เตรียมทหารชั้นปีที่ 3/กศน.มัธยมศึกษา,ไม่ระบุข้อมูล,3176
2562,หญิง,มัธยมศึกษาปีที่ 5/เกรด11/เตรียมทหารชั้นปีที่ 2,ไม่ระบุข้อมูล,3233
2562,หญิง,ประกาศนียบัตรวิชาชีพชั้นสูงชั้นปีที่ 2/ ปวท. ชั้นปีที่ 1 - ปกศ. สูง ,ไม่ระบุข้อมูล,36
2562,ไม่ระบุข้อมูล,มัธยมศึกษาปีที่ 3 (พุทธศึกษา),ไม่ระบุข้อมูล,275
2562,หญิง,ประถมศึกษาปีที่ 3/เกรด 3,ไม่ระบุข้อมูล,14828
2562,หญิง,มัธยมศึกษาปีที่ 3 (พุทธศึกษา),ไม่ระบุข้อมูล,144
2562,ชาย,มัธยมศึกษาปีที่ 2 /เกรด 8/ นาฎศิลป์ชั้นที่ 2,ไม่ระบุข้อมูล,9632
2562,ไม่ระบุข้อมูล,ประถมศึกษาปีที่ 5/เกรด 5,ไม่ระบุข้อมูล,755
2562,ชาย,มัธยมศึกษาปีที่ 5/เกรด11/เตรียมทหารชั้นปีที่ 2,ไม่ระบุข้อมูล,2445
2562,ชาย,ประกาศนียบัตรวิชาชีพปีที่ 3,ไม่ระบุข้อมูล,180
2562,หญิง,ไม่จัดเก็บข้อมูล,อยู่ระหว่างดำเนินการติดตาม,142693
2562,หญิง,มัธยมศึกษาปีที่ 4 (พุทธศึกษา),พักการเรียน,11
2562,ชาย,อนุบาล 3(หลักสูตร 3 ปีของ สช.)/อนุบาล 2,อยู่ระหว่างดำเนินการติดตาม,77
2563,หญิง,ประกาศนียบัตรวิชาชีพชั้นสูงชั้นปีที่ 2/ ปวท. ชั้นปีที่ 1 - ปกศ. สูง ,พักการเรียน,1617
2563,ชาย,ประกาศนียบัตรวิชาชีพชั้นสูงชั้นปีที่ 1/ ปวท. ชั้นปีที่ 1 - ปกศ. สูง ,พักการเรียน,120
2563,หญิง,มัธยมศึกษาปีที่ 1 (พุทธศึกษา),ไม่ระบุข้อมูล,4
2563,หญิง,มัธยมศึกษาปีที่ 2 (พุทธศึกษา),ไม่ระบุข้อมูล,2
2563,หญิง,มัธยมศึกษาปีที่ 3 /เกรด 9/ นาฎศิลป์ชั้นที่ 3,ไม่สามารถจำแนกข้อมูลได้,90647
2563,ชาย,ประถมศึกษาปีที่ 6/เกรด 6/กศน.ประถมศึกษา,ไม่สามารถจำแนกข้อมูลได้,47748
2563,หญิง,ประถมศึกษาปีที่ 6/เกรด 6/กศน.ประถมศึกษา,ไม่สามารถจำแนกข้อมูลได้,48269
2563,หญิง,ประถมศึกษาปีที่ 3/เกรด 3,ไม่สามารถจำแนกข้อมูลได้,35149
2563,หญิง,ประถมศึกษาปีที่ 1/เกรด 1,ไม่สามารถจำแนกข้อมูลได้,34518
2563,หญิง,มัธยมศึกษาปีที่ 5 (พุทธศึกษา),ไม่สามารถจำแนกข้อมูลได้,3489
2563,หญิง,ไม่สามารถจำแนกข้อมูลได้,ไม่สามารถจำแนกข้อมูลได้,165
2563,ข้อมูล error,ประถมศึกษาปีที่ 1/เกรด 1,ไม่สามารถจำแนกข้อมูลได้,3
2563,ชาย,ประถมศึกษาปีที่ 6/เกรด 6/กศน.ประถมศึกษา,อยู่ระหว่างดำเนินการติดตาม,2
2563,หญิง,อนุบาล 2(หลักสูตร 3 ปีของ สช.)/อนุบาล 1,เสียชีวิต,1
2563,หญิง,อนุบาล 2(หลักสูตร 3 ปีของ สช.)/อนุบาล 1,อยู่ระหว่างดำเนินการติดตาม,1
2563,หญิง,ดุริยางค์ทหารบก/ดุริยางค์ทหารเรือชั้นปีที่ 1,ไม่สามารถจำแนกข้อมูลได้,4
2562,ชาย,มัธยมศึกษาปีที่ 2 /เกรด 8/ นาฎศิลป์ชั้นที่ 2,อยู่ระหว่างดำเนินการติดตาม,2255
2562,ชาย,มัธยมศึกษาปีที่ 1 (พุทธศึกษา),ไม่ระบุข้อมูล,9011
2562,ชาย,อนุบาล 2(หลักสูตร 3 ปีของ สช.)/อนุบาล 1,อยู่ระหว่างดำเนินการติดตาม,43
2562,หญิง,ประกาศนียบัตรวิชาชีพปีที่ 3,พักการเรียน,3818
2562,ชาย,ประกาศนียบัตรวิชาชีพปีที่ 3,พักการเรียน,6582
2562,ชาย,มัธยมศึกษาปีที่ 6 (พุทธศึกษา),ไม่จัดเก็บข้อมูล,2798
2562,ชาย,ไม่ระบุข้อมูล,ไม่ระบุข้อมูล,2
2562,ชาย,ปริญญาตรีชั้นปีที่ 4 (สามัญ),ไม่จัดเก็บข้อมูล,83
2562,หญิง,มัธยมศึกษาปีที่ 3 /เกรด 9/ นาฎศิลป์ชั้นที่ 3,ไม่ระบุข้อมูล,8514
2562,ชาย,ประถมศึกษาปีที่ 6/เกรด 6/กศน.ประถมศึกษา,ไม่ระบุข้อมูล,16828
2562,หญิง,ปริญญาตรีชั้นปีที่ 2 (อาชีวศึกษา),พักการเรียน,27
2562,หญิง,ประกาศนียบัตรวิชาชีพปีที่ 3,ไม่ระบุข้อมูล,145
2562,หญิง,ประกาศนียบัตรวิชาชีพชั้นสูงชั้นปีที่ 1/ ปวท. ชั้นปีที่ 1 - ปกศ. สูง ,ไม่ระบุข้อมูล,19
2562,หญิง,ประถมศึกษาปีที่ 1/เกรด 1,ไม่ระบุข้อมูล,15124
2562,หญิง,มัธยมศึกษาปีที่ 1 /เกรด 7/ นาฎศิลป์ชั้นที่ 1 ,ไม่ระบุข้อมูล,9008
2562,หญิง,อนุบาล 3(หลักสูตร 3 ปีของ สช.)/อนุบาล 2,ไม่ระบุข้อมูล,11950
2562,หญิง,อนุบาล 1(หลักสูตร 3 ปีของ สช.)/อนุบาล 3 ขวบ,ไม่ระบุข้อมูล,3086
2562,หญิง,มัธยมศึกษาปีที่ 6 (พุทธศึกษา),ไม่ระบุข้อมูล,119
2562,ชาย,ประถมศึกษาปีที่ 4/เกรด 4,ไม่ระบุข้อมูล,16410
2562,ชาย,อนุบาล 3(หลักสูตร 3 ปีของ สช.)/อนุบาล 2,ไม่ระบุข้อมูล,12618
2562,ไม่ระบุข้อมูล,ประถมศึกษาปีที่ 4/เกรด 4,ไม่ระบุข้อมูล,563
2562,ชาย,อนุบาล 1(หลักสูตร 3 ปีของ สช.)/อนุบาล 3 ขวบ,ไม่ระบุข้อมูล,3169
2562,หญิง,ไม่ระบุข้อมูล,ไม่ระบุข้อมูล,2
2562,ชาย,ไม่จัดเก็บข้อมูล,อยู่ระหว่างดำเนินการติดตาม,117280
2562,หญิง,มัธยมศึกษาปีที่ 6 (พุทธศึกษา),พักการเรียน,2
2563,หญิง,ประกาศนียบัตรวิชาชีพปีที่ 2,พักการเรียน,370
2563,ชาย,ปริญญาตรีชั้นปีที่ 2 (อาชีวศึกษา),พักการเรียน,59
2563,หญิง,มัธยมศึกษาปีที่ 3 (พุทธศึกษา),ไม่ระบุข้อมูล,2
2563,หญิง,มัธยมศึกษาปีที่ 4 (พุทธศึกษา),ไม่ระบุข้อมูล,1
2563,หญิง,มัธยมศึกษาปีที่ 6 (พุทธศึกษา),ไม่ระบุข้อมูล,3
